CBSAFP ID,Name,Name Alt,Has Alt Name,2023 Population Estimate,2020 Population Census,Latitude (Centroid),Longitude (Centroid),Land Area (sq Meters),Water Area (sq Meters),Total Area (sq Meters),Land Area (sq Km),Water Area (sq Km),Total Area (sq Km),Land Area (sq Mi),Water Area (sq Mi),Total Area (sq Mi)
41620,"Salt Lake City, UT","Salt Lake City–Murray, UT",YES,1267864,1257936,40.5728869,-112.9532527,19901500435,1055976759,20957477194,19901.50044,1055.976759,20957.47719,7684.012276,407.714906,8091.727182
13820,"Birmingham-Hoover, AL","Birmingham, AL",YES,1184290,1180631,33.4025986,-86.7295151,11625222232,196982372,11822204604,11625.22223,196.982372,11822.2046,4488.523397,76.05531902,4564.578716
23420,"Fresno, CA","Fresno, CA",,1180020,1164909,36.7610058,-119.6550193,15432139300,136609898,15568749198,15432.1393,136.609898,15568.7492,5958.382295,52.7453765,6011.127671
24340,"Grand Rapids-Kentwood, MI","Grand Rapids–Wyoming–Kentwood, MI",YES,1162950,1150015,43.0375977,-85.7781669,6964568619,2888123933,9852692552,6964.568619,2888.123933,9852.692552,2689.034977,1115.110885,3804.145862
15380,"Buffalo-Cheektowaga, NY","Buffalo–Cheektowaga, NY",,1155604,1166902,43.0443711,-78.7773351,4053536100,2075733430,6129269530,4053.5361,2075.73343,6129.26953,1565.079038,801.4451579,2366.524196
25540,"Hartford-East Hartford-Middletown, CT","Hartford–West Hartford–East Hartford, CT",YES,1151543,1150473,41.7186503,-72.5739191,3922845118,238772610,4161617728,3922.845118,238.77261,4161.617728,1514.618968,92.19062012,1606.809588
46060,"Tucson, AZ","Tucson, AZ",,1063162,1043433,32.1280427,-111.7836574,23798597214,5112470,23803709684,23798.59721,5.11247,23803.70968,9188.689755,1.973935702,9190.66369
40380,"Rochester, NY","Rochester, NY",,1052087,1065361,43.148038,-77.5232575,8458697204,5127742161,13586439365,8458.697204,5127.742161,13586.43937,3265.921249,1979.832317,5245.753566
46140,"Tulsa, OK","Tulsa, OK",,1044757,1015331,36.2544287,-96.1773294,16238317043,493035449,16731352492,16238.31704,493.035449,16731.35249,6269.649261,190.3620511,6460.011312
46520,"Urban Honolulu, HI","Urban Honolulu, HI",,989408,1016508,21.5800225,-158.1234063,1555472299,4055017343,5610489642,1555.472299,4055.017343,5610.489642,600.5712122,1565.650949,2166.222161
35380,"New Orleans-Metairie, LA","New Orleans–Metairie, LA",,962165,1007275,29.805532,-89.7013821,8295850369,12098960735,20394811104,8295.850369,12098.96074,20394.8111,3203.045734,4671.434856,7874.48059
14860,"Bridgeport-Stamford-Norwalk, CT","Bridgeport–Stamford–Danbury, CT",YES,951558,946327,41.2274128,-73.3670614,1618659464,549285481,2167944945,1618.659464,549.285481,2167.944945,624.967913,212.0803099,837.0482229
